# U  POINT_DATA 64516
#  x  y  z  U_x  U_y  U_z  
3503687.5 3730412.5 2 1.347990087 -0.03061841126 -0.001541197869
3503662.5 3730412.5 2 1.347543822 -0.02222902714 -0.001112312948
3503662.5 3730387.5 2 1.347483527 -0.02363515676 -0.0004539003944
3503687.5 3730387.5 2 1.347874145 -0.03264076433 -0.0006793362245
3503712.5 3730412.5 2 1.34848929 -0.03953335915 -0.002233846034
3503712.5 3730387.5 2 1.348310467 -0.04229948441 -0.001162939555
3503737.5 3730412.5 2 1.348928485 -0.04895712619 -0.002841154535
3503737.5 3730387.5 2 1.348677718 -0.05253682688 -0.001628336831
3503762.5 3730412.5 2 1.349650412 -0.05865621703 -0.003590489648
3503762.5 3730387.5 2 1.349311079 -0.06311534302 -0.0022478513
3503787.5 3730412.5 2 1.350108256 -0.06814049438 -0.004236267526
3503787.5 3730387.5 2 1.349683255 -0.07347213598 -0.002811144028
3503812.5 3730412.5 2 1.350676291 -0.07684735239 -0.005333878887
3503812.5 3730387.5 2 1.350171823 -0.08308847268 -0.00389785691
3503837.5 3730412.5 2 1.351443661 -0.08438178904 -0.006219201125
3503837.5 3730387.5 2 1.350796187 -0.09143364644 -0.004794876405
3503862.5 3730412.5 2 1.352521506 -0.09044330111 -0.007137697084
3503862.5 3730387.5 2 1.351682483 -0.09817368365 -0.005769918694
3503887.5 3730412.5 2 1.353282819 -0.09505371736 -0.007767425509
3503887.5 3730387.5 2 1.35222614 -0.1033623609 -0.006475008406
3503912.5 3730412.5 2 1.354115776 -0.09822297821 -0.008700579137
3503912.5 3730387.5 2 1.352897407 -0.1071299603 -0.007628532855
3503937.5 3730412.5 2 1.355068233 -0.100251113 -0.009287937751
3503937.5 3730387.5 2 1.353682595 -0.1097080076 -0.008417116934
3503962.5 3730412.5 2 1.356313145 -0.1011629065 -0.009916678375
3503962.5 3730387.5 2 1.354806103 -0.1111435747 -0.009356032998
3503987.5 3730412.5 2 1.357411963 -0.1012505947 -0.01023389203
3503987.5 3730387.5 2 1.355806515 -0.1117479991 -0.009964061509
3504012.5 3730412.5 2 1.358800974 -0.1005151179 -0.01066834058
3504012.5 3730387.5 2 1.357236403 -0.1115911876 -0.01084194905
3504037.5 3730412.5 2 1.360322489 -0.09926043666 -0.01094272552
3504037.5 3730387.5 2 1.358833728 -0.1109558661 -0.01149880543
3504062.5 3730412.5 2 1.362324712 -0.09740804923 -0.01130876328
3504062.5 3730387.5 2 1.361012047 -0.1097598716 -0.01234928352
3504087.5 3730412.5 2 1.364568679 -0.09515878113 -0.01159962793
3504087.5 3730387.5 2 1.36341661 -0.1081649122 -0.01307539203
3504112.5 3730412.5 2 1.367284118 -0.09242049703 -0.0116804607
3504112.5 3730387.5 2 1.366354286 -0.1059930533 -0.01358220158
3504137.5 3730412.5 2 1.369865123 -0.08935336564 -0.01196064374
3504137.5 3730387.5 2 1.369069543 -0.1034958634 -0.01420961358
3504162.5 3730412.5 2 1.372718986 -0.0858772946 -0.01209595082
3504162.5 3730387.5 2 1.372022967 -0.1004860809 -0.01461441424
3504187.5 3730412.5 2 1.375604841 -0.08209358445 -0.01232026645
3504187.5 3730387.5 2 1.374848687 -0.09704154505 -0.0150882928
3504212.5 3730412.5 2 1.378309705 -0.07787791683 -0.01165864843
3504212.5 3730387.5 2 1.377489721 -0.09284512824 -0.01453738463
3504237.5 3730412.5 2 1.379896881 -0.07339628227 -0.0114205753
3504237.5 3730387.5 2 1.378983762 -0.08830853927 -0.01440494151
3504262.5 3730412.5 2 1.38120228 -0.06865294824 -0.01087875945
3504262.5 3730387.5 2 1.380215099 -0.08332381444 -0.0138072047
3504287.5 3730412.5 2 1.382225859 -0.06377457132 -0.01061076351
3504287.5 3730387.5 2 1.381080571 -0.07804202133 -0.01355304286
3504312.5 3730412.5 2 1.38260238 -0.05867219255 -0.009177162571
3504312.5 3730387.5 2 1.381422073 -0.07216742062 -0.01201785394
3504337.5 3730412.5 2 1.381214298 -0.05353664237 -0.008278938069
3504337.5 3730387.5 2 1.38020161 -0.06626153107 -0.01115625167
3504362.5 3730412.5 2 1.379359463 -0.04845716966 -0.007346140351
3504362.5 3730387.5 2 1.378746091 -0.06039063002 -0.01011359981
3504387.5 3730412.5 2 1.377322099 -0.04359302791 -0.006827208249
3504387.5 3730387.5 2 1.377113326 -0.05474436003 -0.009617918851
3504412.5 3730412.5 2 1.375338405 -0.03886238704 -0.005798938595
3504412.5 3730387.5 2 1.375593205 -0.04908927429 -0.008498692321
3504437.5 3730412.5 2 1.372426723 -0.03429990788 -0.00511309257
3504437.5 3730387.5 2 1.37310374 -0.04369965668 -0.00789858017
3504462.5 3730412.5 2 1.369612608 -0.02988054123 -0.004487730697
3504462.5 3730387.5 2 1.370835296 -0.03858872235 -0.007396427964
3504487.5 3730412.5 2 1.366914991 -0.02577874424 -0.004127628081
