ob_end_time,id_type,id,ob_hour_count,met_domain_-999me,version_num,src_id,rec_st_ind,mean_wind_dir,mean_wind_speed,max_gust_dir,max_gust_speed,max_gust_ctime,mean_wind_dir_q,mean_wind_speed_q,max_gust_dir_q,max_gust_speed_q,max_gust_ctime_q,mean_wind_dir_j,mean_wind_speed_j,max_gust_dir_j,max_gust_speed_j,meto_stmp_time,midas_stmp_etime
01/01/2014 00:00,WIND,164601,1,HCM,1,251,1011,190,9,200,25,2256,6,6,6,6,6,-999,-999,-999,-999,31/12/2013 23:53,0
01/01/2014 01:00,WIND,164601,1,HCM,1,251,1011,180,11,200,22,21,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 00:54,0
01/01/2014 02:00,WIND,164601,1,HCM,1,251,1011,180,11,180,19,107,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 01:53,0
01/01/2014 03:00,WIND,164601,1,HCM,1,251,1011,190,10,190,19,246,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 02:53,0
01/01/2014 04:00,WIND,164601,1,HCM,1,251,1011,170,9,200,17,349,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 03:53,0
01/01/2014 05:00,WIND,164601,1,HCM,1,251,1011,160,6,190,16,350,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 04:54,0
01/01/2014 06:00,WIND,164601,1,HCM,1,251,1011,170,7,170,24,549,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 05:53,0
01/01/2014 07:00,WIND,164601,1,HCM,1,251,1011,180,19,200,31,633,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 06:53,0
01/01/2014 08:00,WIND,164601,1,HCM,1,251,1011,170,13,180,25,652,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 07:54,0
01/01/2014 09:00,WIND,164601,1,HCM,1,251,1011,150,7,170,16,757,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 08:54,0
01/01/2014 10:00,WIND,164601,1,HCM,1,251,1011,90,5,130,10,932,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 09:54,0
01/01/2014 11:00,WIND,164601,1,HCM,1,251,1011,80,5,20,9,1001,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 10:55,0
01/01/2014 12:00,WIND,164601,1,HCM,1,251,1011,90,5,130,12,1131,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 11:55,0
01/01/2014 13:00,WIND,164601,1,HCM,1,251,1011,100,8,110,17,1225,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 12:53,0
01/01/2014 14:00,WIND,164601,1,HCM,1,251,1011,100,11,110,18,1337,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 13:53,0
01/01/2014 15:00,WIND,164601,1,HCM,1,251,1011,100,11,100,19,1355,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 14:53,0
01/01/2014 16:00,WIND,164601,1,HCM,1,251,1011,100,15,110,27,1540,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 15:53,0
01/01/2014 17:00,WIND,164601,1,HCM,1,251,1011,120,17,110,28,1615,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 16:53,0
01/01/2014 18:00,WIND,164601,1,HCM,1,251,1011,110,15,110,23,1659,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 17:53,0
01/01/2014 19:00,WIND,164601,1,HCM,1,251,1011,120,11,120,19,1750,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 18:53,0
01/01/2014 20:00,WIND,164601,1,HCM,1,251,1011,110,9,140,16,1948,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 19:53,0
01/01/2014 21:00,WIND,164601,1,HCM,1,251,1011,140,9,160,17,2011,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 20:54,0
01/01/2014 22:00,WIND,164601,1,HCM,1,251,1011,180,7,170,21,2130,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 21:53,0
01/01/2014 23:00,WIND,164601,1,HCM,1,251,1011,180,14,160,28,2231,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 22:53,0
02/01/2014 00:00,WIND,164601,1,HCM,1,251,1011,190,18,200,30,2345,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 23:53,0
02/01/2014 01:00,WIND,164601,1,HCM,1,251,1011,210,22,210,39,42,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 00:56,0
02/01/2014 02:00,WIND,164601,1,HCM,1,251,1011,230,23,220,40,101,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 01:53,0
02/01/2014 03:00,WIND,164601,1,HCM,1,251,1011,240,19,240,33,237,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 02:53,0
02/01/2014 04:00,WIND,164601,1,HCM,1,251,1011,240,18,230,31,253,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 03:54,0
02/01/2014 05:00,WIND,164601,1,HCM,1,251,1011,240,18,260,29,355,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 04:53,0
02/01/2014 06:00,WIND,164601,1,HCM,1,251,1011,240,16,250,26,509,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 05:53,0
