ob_end_time,id_type,id,ob_hour_count,met_domain_-999me,version_num,src_id,rec_st_ind,mean_wind_dir,mean_wind_speed,max_gust_dir,max_gust_speed,max_gust_ctime,mean_wind_dir_q,mean_wind_speed_q,max_gust_dir_q,max_gust_speed_q,max_gust_ctime_q,mean_wind_dir_j,mean_wind_speed_j,max_gust_dir_j,max_gust_speed_j,meto_stmp_time,midas_stmp_etime
01/01/2014 00:00,WIND,163301,1,HCM,1,19260,1011,170,5,180,13,2339,6,6,6,6,6,-999,-999,-999,-999,31/12/2013 23:52,0
01/01/2014 01:00,WIND,163301,1,HCM,1,19260,1011,200,4,190,10,5,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 00:52,0
01/01/2014 02:00,WIND,163301,1,HCM,1,19260,1011,160,4,180,8,129,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 01:52,0
01/01/2014 03:00,WIND,163301,1,HCM,1,19260,1011,160,4,180,10,249,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 02:52,0
01/01/2014 04:00,WIND,163301,1,HCM,1,19260,1011,180,6,190,13,328,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 03:52,0
01/01/2014 05:00,WIND,163301,1,HCM,1,19260,1011,170,5,190,14,425,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 04:52,0
01/01/2014 06:00,WIND,163301,1,HCM,1,19260,1011,190,9,210,23,530,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 05:54,0
01/01/2014 07:00,WIND,163301,1,HCM,1,19260,1011,190,8,160,18,642,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 06:52,0
01/01/2014 08:00,WIND,163301,1,HCM,1,19260,1011,160,5,170,15,654,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 07:53,0
01/01/2014 09:00,WIND,163301,1,HCM,1,19260,1011,170,3,140,9,837,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 08:53,0
01/01/2014 10:00,WIND,163301,1,HCM,1,19260,1011,90,4,120,11,927,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 09:52,0
01/01/2014 11:00,WIND,163301,1,HCM,1,19260,1011,130,6,130,17,1016,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 10:52,0
01/01/2014 12:00,WIND,163301,1,HCM,1,19260,1011,120,7,120,13,1133,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 11:52,0
01/01/2014 13:00,WIND,163301,1,HCM,1,19260,1011,90,8,80,16,1236,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 12:52,0
01/01/2014 14:00,WIND,163301,1,HCM,1,19260,1011,70,11,60,19,1303,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 13:52,0
01/01/2014 15:00,WIND,163301,1,HCM,1,19260,1011,80,9,80,17,1403,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 14:52,0
01/01/2014 16:00,WIND,163301,1,HCM,1,19260,1011,80,11,100,22,1545,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 15:52,0
01/01/2014 17:00,WIND,163301,1,HCM,1,19260,1011,90,12,110,23,1645,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 16:54,0
01/01/2014 18:00,WIND,163301,1,HCM,1,19260,1011,90,10,80,21,1651,6,6,6,6,6,-999,-999,-999,-999,01/01/2014 17:52,0
